No,SSA,VMI,VME,T,P,G
1,1070,0.4,0.15,25,35,4.94
2,1440,0.52,0.61,25,35,5.81
3,1800,0.64,0.19,25,35,7.375
4,3551,1,1,25,35,10.5
5,3290,1.1,1.15,25,35,11.94
6,3425,1.11,1.33,25,35,11.5
7,1906,0.98,0.26,30,35,8.55
8,1906,0.98,0.26,30,30.5,8.2
9,1906,0.98,0.26,30,25.2,7.59
10,1906,0.98,0.26,30,20,6.89
11,1906,0.98,0.26,30,15.3,6.07
12,1906,0.98,0.26,30,11.2,5.17
13,1906,0.98,0.26,30,8.9,4.52
14,1906,0.98,0.26,30,5.8,3.41
15,1441,0.73,0.13,30,35,7.58
16,1441,0.73,0.13,30,30.7,7.25
17,1441,0.73,0.13,30,25.2,6.75
18,1441,0.73,0.13,30,20,6.18
19,1441,0.73,0.13,30,15.4,5.46
20,1441,0.73,0.13,30,12.7,4.91
21,1441,0.73,0.13,30,10.1,4.39
22,1441,0.73,0.13,30,5.3,2.93
23,844,0.5,0.05,30,35,6.08
24,844,0.5,0.05,30,29.3,5.87
25,844,0.5,0.05,30,25.4,5.65
26,844,0.5,0.05,30,20.3,5.22
27,844,0.5,0.05,30,15,4.67
28,844,0.5,0.05,30,10.1,3.93
29,844,0.5,0.05,30,8.2,3.54
30,844,0.5,0.05,30,6.2,3.06
31,844,0.5,0.05,30,4.2,2.43
32,779,0.44,0.06,30,35,4.85
33,779,0.44,0.06,30,30.1,4.65
34,779,0.44,0.06,30,26.9,4.5
35,779,0.44,0.06,30,20.2,4.11
36,779,0.44,0.06,30,15.1,3.69
37,779,0.44,0.06,30,10.2,3.13
38,779,0.44,0.06,30,8.1,2.845
39,779,0.44,0.06,30,4.3,2.02
40,767,0.44,0.07,30,35,4.55
41,767,0.44,0.07,30,30.7,4.39
42,767,0.44,0.07,30,25.9,4.13
43,767,0.44,0.07,30,20.2,3.8
44,767,0.44,0.07,30,15.1,3.41
45,767,0.44,0.07,30,10.1,2.8
46,693,0.4,0.11,30,35,4.04
47,520,0.3,0.04,30,35,4.01
48,828,0.44,0.11,30,35,3.57
49,1127,0.29,0.46,25,35,5
50,1127,0.29,0.46,25,30.5,4.81
51,1127,0.29,0.46,25,22.45,4.385
52,1127,0.29,0.46,25,18.5,4.02
53,1127,0.29,0.46,25,14.4,3.45
54,1127,0.29,0.46,25,10.45,3
55,1127,0.29,0.46,25,6.55,1.96
56,1127,0.29,0.46,25,2.9,1.27
57,808,0.17,0.57,25,35,3.475
58,808,0.17,0.57,25,30.5,3.35
59,808,0.17,0.57,25,26.4,3.22
60,808,0.17,0.57,25,22.5,2.95
61,808,0.17,0.57,25,18.5,2.745
62,808,0.17,0.57,25,14.4,2.39
63,808,0.17,0.57,25,10.45,1.95
64,808,0.17,0.57,25,6.5,1.38
65,808,0.17,0.57,25,2.9,0.69
66,757,0.16,0.42,25,35,2.46
67,757,0.16,0.42,25,30.5,2.49
68,757,0.16,0.42,25,26.5,2.42
69,757,0.16,0.42,25,22.5,2.33
70,757,0.16,0.42,25,18.5,1.97
71,757,0.16,0.42,25,14.4,1.9
72,757,0.16,0.42,25,10.5,1.58
73,1127,0.29,0.46,14,29.9,5.555
74,1127,0.29,0.46,14,19.2,4.38
75,1127,0.29,0.46,14,13.9,3.61
76,1127,0.29,0.46,14,8.8,2.625
77,1127,0.29,0.46,14,3.8,1.48
78,1127,0.29,0.46,40,29.95,3.43
79,1127,0.29,0.46,40,24.7,3.23
80,1127,0.29,0.46,40,19.3,2.94
81,1127,0.29,0.46,40,14,2.55
82,1127,0.29,0.46,40,8.8,1.79
83,1127,0.29,0.46,40,3.9301,0.69
84,3140,0.179,1.831,5,0.5,0.94
85,3140,0.179,1.831,5,1.27,2.06
86,3140,0.179,1.831,5,2.17,3.125
87,3140,0.179,1.831,5,3.1,4.125
88,3140,0.179,1.831,5,4.1,5
89,3140,0.179,1.831,5,5.1,5.81
90,3140,0.179,1.831,5,6.46,6.81
91,3140,0.179,1.831,5,7.84,7.69
92,3140,0.179,1.831,5,9.34,8.5
93,3140,0.179,1.831,5,11.38,9.5
94,3140,0.179,1.831,5,13.4,10.44
95,3140,0.179,1.831,5,15.5,11.25
96,3140,0.179,1.831,5,17.54,11.94
97,3140,0.179,1.831,5,19.49,12.56
98,3140,0.179,1.831,5,21.58,13.19
99,3140,0.179,1.831,15,0.5,0.75
100,3140,0.179,1.831,15,1.35,1.81
101,3140,0.179,1.831,15,2.33,2.81
102,3140,0.179,1.831,15,3.31,3.69
103,3140,0.179,1.831,15,4.29,4.44
104,3140,0.179,1.831,15,5.26,5.125
105,3140,0.179,1.831,15,6.55,6
106,3140,0.179,1.831,15,8,6.81
107,3140,0.179,1.831,15,9.46,7.56
108,3140,0.179,1.831,15,11.55,8.56
109,3140,0.179,1.831,15,13.54,9.375
110,3140,0.179,1.831,15,15.61,10.19
111,3140,0.179,1.831,15,17.62,10.875
112,3140,0.179,1.831,15,19.68,11.5
113,3140,0.179,1.831,15,21.66,12.06
114,3140,0.179,1.831,25,0.57,0.69
115,3140,0.179,1.831,25,1.4,1.56
116,3140,0.179,1.831,25,2.34,2.375
117,3140,0.179,1.831,25,3.31,3.125
118,3140,0.179,1.831,25,4.28,3.81
119,3140,0.179,1.831,25,5.26,4.44
120,3140,0.179,1.831,25,6.52,5.19
121,3140,0.179,1.831,25,7.92,5.94
122,3140,0.179,1.831,25,9.48,6.75
123,3140,0.179,1.831,25,11.57,7.625
124,3140,0.179,1.831,25,13.44,8.375
125,3140,0.179,1.831,25,15.63,9.19
126,3140,0.179,1.831,25,17.56,9.81
127,3140,0.179,1.831,25,19.6,10.44
128,3140,0.179,1.831,25,21.57,11
129,3140,0.179,1.831,35,0.6,0.625
130,3140,0.179,1.831,35,1.52,1.375
131,3140,0.179,1.831,35,2.45,2.125
132,3140,0.179,1.831,35,3.44,2.81
133,3140,0.179,1.831,35,4.43,3.44
134,3140,0.179,1.831,35,5.43,4
135,3140,0.179,1.831,35,6.78,4.75
136,3140,0.179,1.831,35,8.2,5.44
137,3140,0.179,1.831,35,9.74,6.125
