No,VMI,VME,SSA
1,0.42,0.18,798
2,0.09,1.01,241
3,0.21,1.09,448
4,0.39,0.91,826
5,0.4,0.9,895
6,0.39,0.91,862
7,0.3,1.1,678
8,0.14,1.06,304
9,0.23,0.77,500
10,0.39,1.01,931
11,0.27,1.13,675
12,0.16,0.94,427
13,0.06,0.61,451
14,0.39,0.91,862
15,0.42,0.18,798
16,0.4,0.9,895
17,0.39,0.91,862
18,0.3,1.1,678
19,0.39,1.01,931
20,0.27,1.13,675
21,0.16,0.94,427
22,0.347,0.075,887
23,0.347,0.075,887
24,0.347,0.075,887
25,0.347,0.075,887
26,0.347,0.075,887
27,0.347,0.075,887
28,0.347,0.075,887
29,0.347,0.075,887
30,0.217,1.115,618
31,0.217,1.115,618
32,0.217,1.115,618
33,0.217,1.115,618
34,0.217,1.115,618
35,0.217,1.115,618
36,0.217,1.115,618
37,0.217,1.115,618
38,0.731,0.138,2073
39,0.731,0.138,2073
40,0.731,0.138,2073
41,0.731,0.138,2073
42,0.731,0.138,2073
43,0.731,0.138,2073
44,0.731,0.138,2073
45,0.731,0.138,2073
46,0.731,0.138,2073
47,0.731,0.138,2073
48,0.731,0.138,2073
49,0.731,0.138,2073
50,0.731,0.138,2073
51,0.731,0.138,2073
52,0.731,0.138,2073
53,0.731,0.138,2073
54,0.731,0.138,2073
55,0.731,0.138,2073
56,0.731,0.138,2073
57,0.731,0.138,2073
58,0.731,0.138,2073
59,0.731,0.138,2073
60,0.731,0.138,2073
61,0.731,0.138,2073
62,0.731,0.138,2073
63,0.731,0.138,2073
64,0.731,0.138,2073
65,0.731,0.138,2073
66,0.731,0.138,2073
67,0.731,0.138,2073
68,0.731,0.138,2073
69,0.731,0.138,2073
70,0.731,0.138,2073
71,0.731,0.138,2073
72,0.731,0.138,2073
73,0.731,0.138,2073
74,0.731,0.138,2073
75,0.731,0.138,2073
76,0.731,0.138,2073
77,0.731,0.138,2073
78,0.731,0.138,2073
79,0.716,0.644,2785
80,0.716,0.644,2785
81,0.716,0.644,2785
82,0.716,0.644,2785
83,0.716,0.644,2785
84,0.716,0.644,2785
85,0.716,0.644,2785
86,0.716,0.644,2785
87,0.716,0.644,2785
88,0.716,0.644,2785
89,0.716,0.644,2785
90,0.716,0.644,2785
91,0.716,0.644,2785
92,0.716,0.644,2785
93,0.716,0.644,2785
94,0.716,0.644,2785
95,0.716,0.644,2785
96,0.716,0.644,2785
97,0.716,0.644,2785
98,0.716,0.644,2785
99,0.716,0.644,2785
100,0.716,0.644,2785
101,0.716,0.644,2785
102,0.716,0.644,2785
103,0.716,0.644,2785
104,0.716,0.644,2785
105,0.716,0.644,2785
106,0.716,0.644,2785
107,0.716,0.644,2785
108,0.716,0.644,2785
109,0.716,0.644,2785
110,0.716,0.644,2785
111,0.716,0.644,2785
112,0.716,0.644,2785
113,0.716,0.644,2785
114,0.716,0.644,2785
115,0.716,0.644,2785
116,0.716,0.644,2785
117,0.716,0.644,2785
118,0.589,0.073,1624
119,0.589,0.073,1624
120,0.589,0.073,1624
121,0.589,0.073,1624
122,0.589,0.073,1624
123,0.589,0.073,1624
124,0.589,0.073,1624
125,0.589,0.073,1624
126,0.589,0.073,1624
127,0.589,0.073,1624
128,0.589,0.073,1624
129,0.589,0.073,1624
130,0.589,0.073,1624
131,0.589,0.073,1624
132,0.589,0.073,1624
133,0.589,0.073,1624
134,0.589,0.073,1624
135,0.589,0.073,1624
136,0.589,0.073,1624
137,0.589,0.073,1624
138,0.589,0.073,1624
