No,VMI,VME,SSA
1,0.4,0.15,1070
2,0.52,0.61,1440
3,0.64,0.19,1800
4,1,1,3551
5,1.1,1.15,3290
6,1.11,1.33,3425
7,0.98,0.26,1906
8,0.98,0.26,1906
9,0.98,0.26,1906
10,0.98,0.26,1906
11,0.98,0.26,1906
12,0.98,0.26,1906
13,0.98,0.26,1906
14,0.98,0.26,1906
15,0.73,0.13,1441
16,0.73,0.13,1441
17,0.73,0.13,1441
18,0.73,0.13,1441
19,0.73,0.13,1441
20,0.73,0.13,1441
21,0.73,0.13,1441
22,0.73,0.13,1441
23,0.5,0.05,844
24,0.5,0.05,844
25,0.5,0.05,844
26,0.5,0.05,844
27,0.5,0.05,844
28,0.5,0.05,844
29,0.5,0.05,844
30,0.5,0.05,844
31,0.5,0.05,844
32,0.44,0.06,779
33,0.44,0.06,779
34,0.44,0.06,779
35,0.44,0.06,779
36,0.44,0.06,779
37,0.44,0.06,779
38,0.44,0.06,779
39,0.44,0.06,779
40,0.44,0.07,767
41,0.44,0.07,767
42,0.44,0.07,767
43,0.44,0.07,767
44,0.44,0.07,767
45,0.44,0.07,767
46,0.4,0.11,693
47,0.3,0.04,520
48,0.44,0.11,828
49,0.29,0.46,1127
50,0.29,0.46,1127
51,0.29,0.46,1127
52,0.29,0.46,1127
53,0.29,0.46,1127
54,0.29,0.46,1127
55,0.29,0.46,1127
56,0.29,0.46,1127
57,0.17,0.57,808
58,0.17,0.57,808
59,0.17,0.57,808
60,0.17,0.57,808
61,0.17,0.57,808
62,0.17,0.57,808
63,0.17,0.57,808
64,0.17,0.57,808
65,0.17,0.57,808
66,0.16,0.42,757
67,0.16,0.42,757
68,0.16,0.42,757
69,0.16,0.42,757
70,0.16,0.42,757
71,0.16,0.42,757
72,0.16,0.42,757
73,0.29,0.46,1127
74,0.29,0.46,1127
75,0.29,0.46,1127
76,0.29,0.46,1127
77,0.29,0.46,1127
78,0.29,0.46,1127
79,0.29,0.46,1127
80,0.29,0.46,1127
81,0.29,0.46,1127
82,0.29,0.46,1127
83,0.29,0.46,1127
84,0.179,1.831,3140
85,0.179,1.831,3140
86,0.179,1.831,3140
87,0.179,1.831,3140
88,0.179,1.831,3140
89,0.179,1.831,3140
90,0.179,1.831,3140
91,0.179,1.831,3140
92,0.179,1.831,3140
93,0.179,1.831,3140
94,0.179,1.831,3140
95,0.179,1.831,3140
96,0.179,1.831,3140
97,0.179,1.831,3140
98,0.179,1.831,3140
99,0.179,1.831,3140
100,0.179,1.831,3140
101,0.179,1.831,3140
102,0.179,1.831,3140
103,0.179,1.831,3140
104,0.179,1.831,3140
105,0.179,1.831,3140
106,0.179,1.831,3140
107,0.179,1.831,3140
108,0.179,1.831,3140
109,0.179,1.831,3140
110,0.179,1.831,3140
111,0.179,1.831,3140
112,0.179,1.831,3140
113,0.179,1.831,3140
114,0.179,1.831,3140
115,0.179,1.831,3140
116,0.179,1.831,3140
117,0.179,1.831,3140
118,0.179,1.831,3140
119,0.179,1.831,3140
120,0.179,1.831,3140
121,0.179,1.831,3140
122,0.179,1.831,3140
123,0.179,1.831,3140
124,0.179,1.831,3140
125,0.179,1.831,3140
126,0.179,1.831,3140
127,0.179,1.831,3140
128,0.179,1.831,3140
129,0.179,1.831,3140
130,0.179,1.831,3140
131,0.179,1.831,3140
132,0.179,1.831,3140
133,0.179,1.831,3140
134,0.179,1.831,3140
135,0.179,1.831,3140
136,0.179,1.831,3140
137,0.179,1.831,3140
138,0.179,1.831,3140
139,0.179,1.831,3140
140,0.179,1.831,3140
141,0.179,1.831,3140
142,0.179,1.831,3140
143,0.179,1.831,3140
144,0.179,1.831,3140
145,0.179,1.831,3140
146,0.179,1.831,3140
147,0.179,1.831,3140
148,0.179,1.831,3140
149,0.179,1.831,3140
150,0.179,1.831,3140
151,0.179,1.831,3140
152,0.179,1.831,3140
153,0.179,1.831,3140
154,0.179,1.831,3140
155,0.179,1.831,3140
156,0.179,1.831,3140
157,0.179,1.831,3140
158,0.179,1.831,3140
159,0.179,1.831,3140
160,0.179,1.831,3140
161,0.179,1.831,3140
162,0.179,1.831,3140
163,0.179,1.831,3140
164,0.179,1.831,3140
165,0.179,1.831,3140
166,0.179,1.831,3140
167,0.179,1.831,3140
168,0.179,1.831,3140
169,0.179,1.831,3140
170,0.179,1.831,3140
171,0.179,1.831,3140
172,0.179,1.831,3140
173,0.179,1.831,3140
174,0.179,1.831,3140
175,0.179,1.831,3140
176,0.179,1.831,3140
177,0.179,1.831,3140
178,0.179,1.831,3140
179,0.179,1.831,3140
180,0.179,1.831,3140
181,0.179,1.831,3140
182,0.179,1.831,3140
183,0.179,1.831,3140
184,0.179,1.831,3140
185,0.179,1.831,3140
186,0.179,1.831,3140
187,0.179,1.831,3140
188,0.179,1.831,3140
189,0.179,1.831,3140
190,0.179,1.831,3140
191,0.179,1.831,3140
192,0.179,1.831,3140
193,0.179,1.831,3140
194,0.179,1.831,3140
195,0.179,1.831,3140
196,0.179,1.831,3140
197,0.179,1.831,3140
198,0.179,1.831,3140
199,0.179,1.831,3140
200,0.179,1.831,3140
201,0.179,1.831,3140
202,0.179,1.831,3140
203,0.488,0.17,1493
204,0.488,0.17,1493
205,0.488,0.17,1493
206,0.488,0.17,1493
207,0.488,0.17,1493
208,0.488,0.17,1493
209,0.488,0.17,1493
210,0.488,0.17,1493
211,0.488,0.17,1493
212,0.488,0.17,1493
213,0.488,0.17,1493
214,0.488,0.17,1493
215,0.488,0.17,1493
216,0.488,0.17,1493
217,0.488,0.17,1493
218,0.488,0.17,1493
219,0.488,0.17,1493
220,0.488,0.17,1493
221,0.488,0.17,1493
222,0.488,0.17,1493
223,0.488,0.17,1493
224,0.488,0.17,1493
225,0.488,0.17,1493
226,0.488,0.17,1493
227,0.488,0.17,1493
228,0.488,0.17,1493
229,0.488,0.17,1493
230,0.488,0.17,1493
231,0.488,0.17,1493
232,0.488,0.17,1493
233,0.488,0.17,1493
234,0.488,0.17,1493
235,0.488,0.17,1493
236,0.488,0.17,1493
237,0.488,0.17,1493
238,0.425,0.34,1853
239,0.425,0.34,1853
240,0.425,0.34,1853
241,0.425,0.34,1853
242,0.425,0.34,1853
243,0.425,0.34,1853
244,0.425,0.34,1853
245,0.425,0.34,1853
246,0.425,0.34,1853
247,0.425,0.34,1853
248,0.425,0.34,1853
249,0.425,0.34,1853
250,0.425,0.34,1853
251,0.425,0.34,1853
252,0.425,0.34,1853
253,0.425,0.34,1853
254,0.425,0.34,1853
255,0.425,0.34,1853
256,0.425,0.34,1853
257,0.425,0.34,1853
258,0.425,0.34,1853
259,0.425,0.34,1853
260,0.425,0.34,1853
261,0.425,0.34,1853
262,0.425,0.34,1853
263,0.425,0.34,1853
264,0.425,0.34,1853
265,0.425,0.34,1853
266,0.425,0.34,1853
267,0.425,0.34,1853
268,0.425,0.34,1853
269,0.425,0.34,1853
270,0.425,0.34,1853
271,0.425,0.34,1853
272,0.425,0.34,1853
273,0.35,0.22,1457
274,0.35,0.22,1457
275,0.35,0.22,1457
276,0.35,0.22,1457
277,0.35,0.22,1457
278,0.35,0.22,1457
279,0.35,0.22,1457
280,0.35,0.22,1457
281,0.35,0.22,1457
282,0.35,0.22,1457
283,0.35,0.22,1457
284,0.35,0.22,1457
285,0.35,0.22,1457
286,0.35,0.22,1457
287,0.35,0.22,1457
288,0.35,0.22,1457
289,0.35,0.22,1457
290,0.35,0.22,1457
291,0.35,0.22,1457
292,0.35,0.22,1457
293,0.35,0.22,1457
294,0.35,0.22,1457
295,0.35,0.22,1457
296,0.35,0.22,1457
297,0.35,0.22,1457
298,0.35,0.22,1457
299,0.35,0.22,1457
300,0.35,0.22,1457
301,0.35,0.22,1457
302,0.35,0.22,1457
303,0.35,0.22,1457
304,0.35,0.22,1457
305,0.35,0.22,1457
306,0.35,0.22,1457
307,0.35,0.22,1457
308,0.35,0.22,1457
309,0.35,0.22,1457
310,0.35,0.22,1457
311,0.35,0.22,1457
312,0.35,0.22,1457
313,0.35,0.22,1457
314,0.35,0.22,1457
315,0.35,0.22,1457
316,0.35,0.22,1457
317,0.35,0.22,1457
318,0.35,0.22,1457
319,0.35,0.22,1457
320,0.35,0.22,1457
321,0.35,0.22,1457
322,0.35,0.22,1457
323,0.35,0.22,1457
324,0.35,0.22,1457
325,0.35,0.22,1457
326,0.35,0.22,1457
327,0.35,0.22,1457
328,0.35,0.22,1457
329,0.35,0.22,1457
330,0.35,0.22,1457
331,0.35,0.22,1457
332,0.35,0.22,1457
333,0.35,0.22,1457
334,0.35,0.22,1457
335,0.35,0.22,1457
336,0.35,0.22,1457
337,0.35,0.22,1457
338,0.35,0.22,1457
339,0.35,0.22,1457
340,0.35,0.22,1457
341,0.35,0.22,1457
342,0.35,0.22,1457
343,0.35,0.22,1457
344,0.35,0.22,1457
345,0.35,0.22,1457
346,0.35,0.22,1457
347,0.35,0.22,1457
348,0.35,0.22,1457
349,0.35,0.22,1457
350,0.35,0.22,1457
351,0.35,0.22,1457
352,0.35,0.22,1457
353,0.35,0.22,1457
354,0.35,0.22,1457
355,0.35,0.22,1457
356,0.35,0.22,1457
357,0.35,0.22,1457
358,0.35,0.22,1457
359,0.35,0.22,1457
360,0.35,0.22,1457
361,0.37,0.07,871
362,0.37,0.07,871
363,0.37,0.07,871
364,0.37,0.07,871
365,0.37,0.07,871
366,0.37,0.07,871
367,0.37,0.07,871
368,0.37,0.07,871
369,0.37,0.07,871
370,0.37,0.07,871
371,0.37,0.07,871
372,0.37,0.07,871
373,0.37,0.07,871
374,0.37,0.07,871
375,0.37,0.07,871
376,0.37,0.07,871
377,0.37,0.07,871
378,0.37,0.07,871
379,0.37,0.07,871
380,0.37,0.07,871
381,0.37,0.07,871
382,0.37,0.07,871
383,0.37,0.07,871
384,0.37,0.07,871
385,0.37,0.07,871
386,0.37,0.07,871
387,0.37,0.07,871
388,0.64,0.31,1714
389,0.64,0.31,1714
390,0.64,0.31,1714
391,0.64,0.31,1714
392,0.64,0.31,1714
393,0.64,0.31,1714
394,0.64,0.31,1714
395,0.64,0.31,1714
396,0.64,0.31,1714
397,0.64,0.31,1714
398,0.64,0.31,1714
399,0.64,0.31,1714
400,0.64,0.31,1714
401,0.64,0.31,1714
402,0.64,0.31,1714
403,0.64,0.31,1714
404,0.64,0.31,1714
405,0.64,0.31,1714
406,0.64,0.31,1714
407,0.64,0.31,1714
408,0.64,0.31,1714
409,0.64,0.31,1714
410,0.64,0.31,1714
411,0.61,0.2,1683
412,0.61,0.2,1683
413,0.61,0.2,1683
414,0.61,0.2,1683
415,0.61,0.2,1683
416,0.61,0.2,1683
417,0.61,0.2,1683
418,0.61,0.2,1683
419,0.61,0.2,1683
420,0.61,0.2,1683
421,0.61,0.2,1683
422,0.61,0.2,1683
423,0.61,0.2,1683
424,0.61,0.2,1683
425,0.61,0.2,1683
426,0.61,0.2,1683
427,0.61,0.2,1683
428,0.61,0.2,1683
429,0.61,0.2,1683
430,0.61,0.2,1683
431,0.61,0.2,1683
432,0.61,0.2,1683
433,0.45,0.54,1378
434,0.45,0.54,1378
435,0.45,0.54,1378
436,0.45,0.54,1378
437,0.45,0.54,1378
438,0.45,0.54,1378
439,0.45,0.54,1378
440,0.45,0.54,1378
441,0.45,0.54,1378
442,0.45,0.54,1378
443,0.45,0.54,1378
444,0.45,0.54,1378
445,0.45,0.54,1378
446,0.45,0.54,1378
447,0.45,0.54,1378
448,0.45,0.54,1378
449,0.45,0.54,1378
450,0.45,0.54,1378
451,0.45,0.54,1378
452,0.45,0.54,1378
453,0.45,0.54,1378
454,0.48,0.16,1323
455,0.48,0.16,1323
456,0.48,0.16,1323
457,0.48,0.16,1323
458,0.48,0.16,1323
459,0.48,0.16,1323
460,0.48,0.16,1323
461,0.48,0.16,1323
462,0.48,0.16,1323
463,0.48,0.16,1323
464,0.48,0.16,1323
465,0.48,0.16,1323
466,0.48,0.16,1323
467,0.48,0.16,1323
468,0.48,0.16,1323
469,0.48,0.16,1323
470,0.48,0.16,1323
471,0.48,0.16,1323
472,0.48,0.16,1323
473,0.48,0.16,1323
474,0.36,0.2,982
475,0.36,0.2,982
476,0.36,0.2,982
477,0.36,0.2,982
478,0.36,0.2,982
479,0.36,0.2,982
480,0.36,0.2,982
481,0.36,0.2,982
482,0.36,0.2,982
483,0.36,0.2,982
484,0.36,0.2,982
485,0.36,0.2,982
486,0.36,0.2,982
487,0.36,0.2,982
488,0.36,0.2,982
489,0.36,0.2,982
490,0.36,0.2,982
491,0.46,0.04,1044
492,0.46,0.04,1044
493,0.46,0.04,1044
494,0.46,0.04,1044
495,0.46,0.04,1044
496,0.46,0.04,1044
497,0.46,0.04,1044
498,0.46,0.04,1044
499,0.46,0.04,1044
500,0.46,0.04,1044
501,0.46,0.04,1044
502,0.46,0.04,1044
503,0.46,0.04,1044
504,0.46,0.04,1044
505,0.46,0.04,1044
506,0.46,0.04,1044
507,0.46,0.04,1044
508,0.46,0.04,1044
509,0.46,0.04,1044
510,0.46,0.04,1044
511,0.46,0.04,1044
512,0.46,0.04,1044
513,0.46,0.04,1044
514,0.46,0.04,1044
515,0.46,0.04,1044
516,0.46,0.04,1044
517,0.46,0.04,1044
518,0.46,0.04,1044
519,0.46,0.04,1044
520,0.46,0.04,1044
521,0.46,0.04,1044
522,0.46,0.04,1044
523,0.46,0.04,1044
524,0.46,0.04,1044
525,0.46,0.04,1044
526,0.46,0.04,1044
527,1.4,0.44,3101
528,1.4,0.44,3101
529,1.4,0.44,3101
530,1.4,0.44,3101
531,1.4,0.44,3101
532,1.4,0.44,3101
533,1.4,0.44,3101
534,1.4,0.44,3101
535,1.4,0.44,3101
536,1.4,0.44,3101
537,1.2,0.64,2739
538,1.2,0.64,2739
539,1.2,0.64,2739
540,1.2,0.64,2739
541,1.2,0.64,2739
542,1.2,0.64,2739
543,1.2,0.64,2739
544,1.2,0.64,2739
545,1.2,0.64,2739
546,1.24,0.41,2772
547,1.24,0.41,2772
548,1.24,0.41,2772
549,1.24,0.41,2772
550,1.24,0.41,2772
551,1.24,0.41,2772
552,1.24,0.41,2772
553,1.24,0.41,2772
554,1.24,0.41,2772
555,1.24,0.41,2772
556,0.1894,0.3765,776
557,0.1894,0.3765,776
558,0.1894,0.3765,776
559,0.1894,0.3765,776
560,0.1894,0.3765,776
561,0.1894,0.3765,776
562,0.1894,0.3765,776
563,0.1894,0.3765,776
564,0.1894,0.3765,776
565,0.1894,0.3765,776
566,0.1894,0.3765,776
567,0.1894,0.3765,776
568,0.1894,0.3765,776
569,0.1894,0.3765,776
570,0.1894,0.3765,776
571,0.1894,0.3765,776
572,0.1498,0.0935,594
573,0.1498,0.0935,594
574,0.1498,0.0935,594
575,0.1498,0.0935,594
576,0.1498,0.0935,594
577,0.1498,0.0935,594
578,0.1498,0.0935,594
579,0.1498,0.0935,594
580,0.1498,0.0935,594
581,0.1498,0.0935,594
582,0.1498,0.0935,594
583,0.1498,0.0935,594
584,0.1498,0.0935,594
585,0.1498,0.0935,594
586,0.091,0.2367,403
587,0.091,0.2367,403
588,0.091,0.2367,403
589,0.091,0.2367,403
590,0.091,0.2367,403
591,0.091,0.2367,403
592,0.091,0.2367,403
